freq (Hz)	magnitude
4.040000E+2	9.802168E-2
4.050000E+2	1.009889E-1
4.060000E+2	1.278070E-1
4.070000E+2	7.518205E-2
4.080000E+2	1.265403E-1
4.090000E+2	9.261422E-2
4.100000E+2	9.657469E-2
4.110000E+2	1.209640E-1
4.120000E+2	7.333889E-2
4.130000E+2	1.201529E-1
4.140000E+2	8.874601E-2
4.150000E+2	9.195481E-2
4.160000E+2	1.165309E-1
4.170000E+2	7.246454E-2
4.180000E+2	1.169046E-1
4.190000E+2	1.001523E-1
4.200000E+2	1.188347E-1
4.210000E+2	1.029569E-1
4.220000E+2	7.654344E-2
4.230000E+2	1.081797E-1
4.240000E+2	8.225517E-2
4.250000E+2	8.637476E-2
4.260000E+2	1.012866E-1
4.270000E+2	6.912248E-2
4.280000E+2	1.029717E-1
4.290000E+2	7.963291E-2
4.300000E+2	8.305580E-2
4.310000E+2	9.790972E-2
4.320000E+2	7.379506E-2
4.330000E+2	1.017569E-1
4.340000E+2	7.948503E-2
4.350000E+2	8.105880E-2
4.360000E+2	9.549509E-2
4.370000E+2	6.921052E-2
4.380000E+2	9.661385E-2
4.390000E+2	7.903900E-2
4.400000E+2	7.905786E-2
4.410000E+2	9.340766E-2
4.420000E+2	6.968273E-2
4.430000E+2	9.384548E-2
4.440000E+2	8.252890E-2
4.450000E+2	7.891015E-2
4.460000E+2	9.791694E-2
4.470000E+2	7.363872E-2
4.480000E+2	9.257549E-2
4.490000E+2	8.416153E-2
4.500000E+2	7.769006E-2
4.510000E+2	9.471151E-2
4.520000E+2	7.829696E-2
4.530000E+2	9.038953E-2
4.540000E+2	9.133165E-2
4.550000E+2	7.876905E-2
4.560000E+2	9.834503E-2
4.570000E+2	8.377574E-2
4.580000E+2	9.063518E-2
4.590000E+2	9.820973E-2
4.600000E+2	7.942560E-2
4.610000E+2	1.041781E-1
4.620000E+2	9.338672E-2
4.630000E+2	9.526854E-2
4.640000E+2	1.074178E-1
4.650000E+2	8.771652E-2
4.660000E+2	1.111946E-1
4.670000E+2	1.028717E-1
4.680000E+2	1.063706E-1
4.690000E+2	1.205610E-1
4.700000E+2	9.979529E-2
4.710000E+2	1.270020E-1
4.720000E+2	1.225922E-1
4.730000E+2	1.224917E-1
4.740000E+2	1.407466E-1
4.750000E+2	1.142764E-1
4.760000E+2	1.446933E-1
4.770000E+2	1.458998E-1
4.780000E+2	1.406664E-1
4.790000E+2	1.688060E-1
4.800000E+2	1.362531E-1
4.810000E+2	1.845036E-1
4.820000E+2	1.797504E-1
4.830000E+2	1.803728E-1
4.840000E+2	2.072882E-1
4.850000E+2	1.777572E-1
4.860000E+2	2.362987E-1
4.870000E+2	2.400518E-1
4.880000E+2	2.371285E-1
4.890000E+2	2.654452E-1
4.900000E+2	2.348075E-1
4.910000E+2	2.807703E-1
4.920000E+2	2.662585E-1
4.930000E+2	2.853950E-1
4.940000E+2	3.303955E-1
4.950000E+2	2.983014E-1
4.960000E+2	3.723519E-1
4.970000E+2	3.922431E-1
4.980000E+2	4.271496E-1
4.990000E+2	5.101982E-1
5.000000E+2	5.280716E-1
5.010000E+2	6.504545E-1
5.020000E+2	7.670660E-1
5.030000E+2	1.030984E+0
5.040000E+2	1.420403E+0
5.050000E+2	2.711747E+0
5.060000E+2	3.873984E+0
5.070000E+2	2.050228E+0
5.080000E+2	1.029757E+0
5.090000E+2	7.647887E-1
5.100000E+2	7.289009E-1
5.110000E+2	1.554034E+0
5.120000E+2	1.177510E+0
5.130000E+2	6.767411E-1
5.140000E+2	8.097874E-1
5.150000E+2	5.932389E-1
5.160000E+2	1.679552E+0
5.170000E+2	1.586780E+0
5.180000E+2	6.788712E+0
5.190000E+2	6.337629E+0
5.200000E+2	1.570106E+0
5.210000E+2	2.187523E+0
5.220000E+2	9.001981E-1
5.230000E+2	9.311496E-1
5.240000E+2	8.050103E-1
5.250000E+2	4.710265E-1
5.260000E+2	6.737803E-1
5.270000E+2	4.022634E-1
5.280000E+2	4.687615E-1
5.290000E+2	4.477236E-1
5.300000E+2	2.943766E-1
5.310000E+2	4.249916E-1
5.320000E+2	2.761140E-1
5.330000E+2	3.306008E-1
5.340000E+2	3.174699E-1
5.350000E+2	2.234303E-1
5.360000E+2	3.194906E-1
5.370000E+2	2.099643E-1
5.380000E+2	2.611558E-1
5.390000E+2	2.540434E-1
5.400000E+2	1.949730E-1
5.410000E+2	2.476436E-1
5.420000E+2	1.774893E-1
5.430000E+2	2.137033E-1
5.440000E+2	2.011871E-1
5.450000E+2	1.580933E-1
5.460000E+2	2.153061E-1
5.470000E+2	1.450845E-1
5.480000E+2	1.803304E-1
5.490000E+2	1.551929E-1
5.500000E+2	1.155857E-1
5.510000E+2	1.910490E-1
5.520000E+2	1.379963E-1
